Date,DateTime,FunctionName,Value,Time,shift_wise
03-04-2023,14,Fries,0,14,1
03-04-2023,15,Fries,1,15,1
03-04-2023,15,Fries,0,15,1
03-04-2023,16,Fries,1,16,1
03-04-2023,16,Fries,0,16,1
03-04-2023,17,Fries,1,17,1
03-04-2023,17,Fries,0,17,1
03-04-2023,18,Fries,1,18,1
03-04-2023,18,Fries,0,18,1
03-04-2023,19,Fries,1,19,1
03-04-2023,19,Fries,0,19,1
03-04-2023,20,Fries,1,20,1
03-04-2023,20,Fries,0,20,1
03-04-2023,21,Fries,1,21,1
03-04-2023,21,Fries,0,21,1
03-04-2023,22,Fries,0,22,1
03-04-2023,22,Fries,0,22,1
03-04-2023,23,Fries,0,23,1
03-04-2023,23,Fries,0,23,1
04-04-2023,24,Fries,0,0,1
04-04-2023,24,Fries,0,0,1
04-04-2023,25,Fries,0,1,1
04-04-2023,25,Fries,0,1,1
04-04-2023,26,Fries,0,2,1
04-04-2023,26,Fries,0,2,1
04-04-2023,27,Fries,0,3,1
04-04-2023,27,Fries,0,3,1
04-04-2023,28,Fries,0,4,1
04-04-2023,28,Fries,0,4,1
04-04-2023,29,Fries,0,5,1
04-04-2023,29,Fries,0,5,1
03-04-2023,6,DT-Runner,0,6,1
03-04-2023,6,DT-Runner,0,6,1
03-04-2023,7,DT-Runner,0,7,1
03-04-2023,7,DT-Runner,0,7,1
03-04-2023,8,DT-Runner,0,8,1
03-04-2023,8,DT-Runner,0,8,1
03-04-2023,9,DT-Runner,0,9,1
03-04-2023,9,DT-Runner,0,9,1
03-04-2023,10,DT-Runner,0,10,1
03-04-2023,10,DT-Runner,0,10,1
03-04-2023,11,DT-Runner,0,11,1
03-04-2023,11,DT-Runner,0,11,1
03-04-2023,12,DT-Runner,0,12,1
03-04-2023,12,DT-Runner,0,12,1
03-04-2023,13,DT-Runner,0,13,1
03-04-2023,13,DT-Runner,0,13,1
03-04-2023,14,DT-Runner,0,14,1
03-04-2023,14,DT-Runner,0,14,1
03-04-2023,15,DT-Runner,0,15,1
03-04-2023,15,DT-Runner,0,15,1
03-04-2023,16,DT-Runner,0,16,1
03-04-2023,16,DT-Runner,0,16,1
03-04-2023,17,DT-Runner,0,17,1
03-04-2023,17,DT-Runner,0,17,1
03-04-2023,18,DT-Runner,0,18,1
03-04-2023,18,DT-Runner,0,18,1
03-04-2023,19,DT-Runner,0,19,1
03-04-2023,19,DT-Runner,0,19,1
03-04-2023,20,DT-Runner,0,20,1
03-04-2023,20,DT-Runner,0,20,1
03-04-2023,21,DT-Runner,0,21,1
03-04-2023,21,DT-Runner,0,21,1
03-04-2023,22,DT-Runner,0,22,1
03-04-2023,22,DT-Runner,0,22,1
03-04-2023,23,DT-Runner,0,23,1
03-04-2023,23,DT-Runner,0,23,1
04-04-2023,24,DT-Runner,0,0,1
04-04-2023,24,DT-Runner,0,0,1
04-04-2023,25,DT-Runner,0,1,1
04-04-2023,25,DT-Runner,0,1,1
04-04-2023,26,DT-Runner,0,2,1
04-04-2023,26,DT-Runner,0,2,1
04-04-2023,27,DT-Runner,0,3,1
04-04-2023,27,DT-Runner,0,3,1
04-04-2023,28,DT-Runner,0,4,1
04-04-2023,28,DT-Runner,0,4,1
04-04-2023,29,DT-Runner,0,5,1
04-04-2023,29,DT-Runner,0,5,1
03-04-2023,6,MDS - Runner,0,6,1
03-04-2023,6,MDS - Runner,0,6,1
03-04-2023,7,MDS - Runner,0,7,1
03-04-2023,7,MDS - Runner,0,7,1
03-04-2023,8,MDS - Runner,0,8,1
03-04-2023,8,MDS - Runner,0,8,1
03-04-2023,9,MDS - Runner,0,9,1
03-04-2023,9,MDS - Runner,0,9,1
03-04-2023,10,MDS - Runner,0,10,1
03-04-2023,10,MDS - Runner,0,10,1
03-04-2023,11,MDS - Runner,0,11,1
03-04-2023,11,MDS - Runner,0,11,1
03-04-2023,12,MDS - Runner,0,12,1
03-04-2023,12,MDS - Runner,0,12,1
03-04-2023,13,MDS - Runner,0,13,1
03-04-2023,13,MDS - Runner,0,13,1
03-04-2023,14,MDS - Runner,0,14,1
03-04-2023,14,MDS - Runner,0,14,1
03-04-2023,15,MDS - Runner,0,15,1
03-04-2023,15,MDS - Runner,0,15,1
03-04-2023,16,MDS - Runner,0,16,1
03-04-2023,16,MDS - Runner,0,16,1
03-04-2023,17,MDS - Runner,0,17,1
03-04-2023,17,MDS - Runner,0,17,1
03-04-2023,18,MDS - Runner,0,18,1
03-04-2023,18,MDS - Runner,0,18,1
03-04-2023,19,MDS - Runner,0,19,1
03-04-2023,19,MDS - Runner,0,19,1
03-04-2023,20,MDS - Runner,0,20,1
03-04-2023,20,MDS - Runner,0,20,1
03-04-2023,21,MDS - Runner,0,21,1
03-04-2023,21,MDS - Runner,1,21,1
03-04-2023,22,MDS - Runner,0,22,1
03-04-2023,22,MDS - Runner,0,22,1
03-04-2023,23,MDS - Runner,0,23,1
03-04-2023,23,MDS - Runner,0,23,1
04-04-2023,24,MDS - Runner,0,0,1
04-04-2023,24,MDS - Runner,0,0,1
04-04-2023,25,MDS - Runner,0,1,1
04-04-2023,25,MDS - Runner,0,1,1
04-04-2023,26,MDS - Runner,0,2,1
04-04-2023,26,MDS - Runner,0,2,1
04-04-2023,27,MDS - Runner,0,3,1
04-04-2023,27,MDS - Runner,0,3,1
04-04-2023,28,MDS - Runner,0,4,1
04-04-2023,28,MDS - Runner,0,4,1
04-04-2023,29,MDS - Runner,0,5,1
04-04-2023,29,MDS - Runner,0,5,1
03-04-2023,6,DT-Cashier,0,6,1
03-04-2023,6,DT-Cashier,0,6,1
03-04-2023,7,DT-Cashier,0,7,1
03-04-2023,7,DT-Cashier,0,7,1
03-04-2023,8,DT-Cashier,0,8,1
03-04-2023,8,DT-Cashier,0,8,1
03-04-2023,9,DT-Cashier,0,9,1
03-04-2023,9,DT-Cashier,0,9,1
03-04-2023,10,DT-Cashier,0,10,1
03-04-2023,10,DT-Cashier,0,10,1
03-04-2023,11,DT-Cashier,0,11,1
03-04-2023,11,DT-Cashier,0,11,1
03-04-2023,12,DT-Cashier,0,12,1
03-04-2023,12,DT-Cashier,0,12,1
03-04-2023,13,DT-Cashier,0,13,1
03-04-2023,13,DT-Cashier,0,13,1
03-04-2023,14,DT-Cashier,0,14,1
03-04-2023,14,DT-Cashier,0,14,1
03-04-2023,15,DT-Cashier,0,15,1
03-04-2023,15,DT-Cashier,0,15,1
03-04-2023,16,DT-Cashier,0,16,1
03-04-2023,16,DT-Cashier,0,16,1
03-04-2023,17,DT-Cashier,0,17,1
03-04-2023,17,DT-Cashier,0,17,1
03-04-2023,18,DT-Cashier,0,18,1
03-04-2023,18,DT-Cashier,0,18,1
03-04-2023,19,DT-Cashier,0,19,1
03-04-2023,19,DT-Cashier,0,19,1
03-04-2023,20,DT-Cashier,0,20,1
03-04-2023,20,DT-Cashier,0,20,1
03-04-2023,21,DT-Cashier,0,21,1
03-04-2023,21,DT-Cashier,0,21,1
03-04-2023,22,DT-Cashier,0,22,1
03-04-2023,22,DT-Cashier,0,22,1
03-04-2023,23,DT-Cashier,0,23,1
03-04-2023,23,DT-Cashier,0,23,1
04-04-2023,24,DT-Cashier,0,0,1
04-04-2023,24,DT-Cashier,0,0,1
04-04-2023,25,DT-Cashier,0,1,1
04-04-2023,25,DT-Cashier,0,1,1
04-04-2023,26,DT-Cashier,0,2,1
04-04-2023,26,DT-Cashier,0,2,1
04-04-2023,27,DT-Cashier,0,3,1
04-04-2023,27,DT-Cashier,0,3,1
04-04-2023,28,DT-Cashier,0,4,1
04-04-2023,28,DT-Cashier,0,4,1
04-04-2023,29,DT-Cashier,0,5,1
04-04-2023,29,DT-Cashier,0,5,1
03-04-2023,6,Initiator 2 Veg,0,6,1
03-04-2023,6,Initiator 2 Veg,0,6,1
03-04-2023,7,Initiator 2 Veg,0,7,1
03-04-2023,7,Initiator 2 Veg,0,7,1
03-04-2023,8,Initiator 2 Veg,0,8,1
03-04-2023,8,Initiator 2 Veg,0,8,1
03-04-2023,9,Initiator 2 Veg,0,9,1
03-04-2023,9,Initiator 2 Veg,0,9,1
03-04-2023,10,Initiator 2 Veg,0,10,1
03-04-2023,10,Initiator 2 Veg,0,10,1
03-04-2023,11,Initiator 2 Veg,0,11,1
03-04-2023,11,Initiator 2 Veg,0,11,1
03-04-2023,12,Initiator 2 Veg,0,12,1
03-04-2023,12,Initiator 2 Veg,0,12,1
03-04-2023,13,Initiator 2 Veg,0,13,1
03-04-2023,13,Initiator 2 Veg,0,13,1
03-04-2023,14,Initiator 2 Veg,0,14,1
03-04-2023,14,Initiator 2 Veg,0,14,1
03-04-2023,15,Initiator 2 Veg,0,15,1
03-04-2023,15,Initiator 2 Veg,0,15,1
03-04-2023,16,Initiator 2 Veg,0,16,1
03-04-2023,16,Initiator 2 Veg,0,16,1
03-04-2023,17,Initiator 2 Veg,0,17,1
03-04-2023,17,Initiator 2 Veg,0,17,1
03-04-2023,18,Initiator 2 Veg,0,18,1
03-04-2023,18,Initiator 2 Veg,0,18,1
03-04-2023,19,Initiator 2 Veg,0,19,1
03-04-2023,19,Initiator 2 Veg,0,19,1
03-04-2023,20,Initiator 2 Veg,0,20,1
03-04-2023,20,Initiator 2 Veg,0,20,1
03-04-2023,21,Initiator 2 Veg,0,21,1
03-04-2023,21,Initiator 2 Veg,0,21,1
03-04-2023,22,Initiator 2 Veg,0,22,1
03-04-2023,22,Initiator 2 Veg,0,22,1
03-04-2023,23,Initiator 2 Veg,0,23,1
03-04-2023,23,Initiator 2 Veg,0,23,1
04-04-2023,24,Initiator 2 Veg,0,0,1
04-04-2023,24,Initiator 2 Veg,0,0,1
04-04-2023,25,Initiator 2 Veg,0,1,1
04-04-2023,25,Initiator 2 Veg,0,1,1
04-04-2023,26,Initiator 2 Veg,0,2,1
04-04-2023,26,Initiator 2 Veg,0,2,1
04-04-2023,27,Initiator 2 Veg,0,3,1
04-04-2023,27,Initiator 2 Veg,0,3,1
04-04-2023,28,Initiator 2 Veg,0,4,1
04-04-2023,28,Initiator 2 Veg,0,4,1
04-04-2023,29,Initiator 2 Veg,0,5,1
04-04-2023,29,Initiator 2 Veg,0,5,1
03-04-2023,6,Chaser Veg,0,6,1
03-04-2023,6,Chaser Veg,0,6,1
03-04-2023,7,Chaser Veg,0,7,1
03-04-2023,7,Chaser Veg,0,7,1
03-04-2023,8,Chaser Veg,0,8,1
03-04-2023,8,Chaser Veg,0,8,1
03-04-2023,9,Chaser Veg,0,9,1
03-04-2023,9,Chaser Veg,0,9,1
03-04-2023,10,Chaser Veg,0,10,1
03-04-2023,10,Chaser Veg,0,10,1
03-04-2023,11,Chaser Veg,0,11,1
03-04-2023,11,Chaser Veg,0,11,1
03-04-2023,12,Chaser Veg,0,12,1
03-04-2023,12,Chaser Veg,0,12,1
03-04-2023,13,Chaser Veg,0,13,1
