,Ordernum,confirmationdate,countrycode,yrncps,yrncnt,yrnqlt,yrnsubqltA,yrnsubqltB,yrndyeclr,yrndyeclrdesc,ffcode,yrnclrref,yrndyeshade,yrndyekgsreq,yrnqlt1
65,2301170A,2023-05-02,MAU,100CO,20/1 NE,RING,COMPACT,None,YD,CHERRY TOMATO,FF00171,1OER00341A,4-Extra Dark,22.0,NORMAL
66,2301170A,2023-05-02,MAU,100CO,30/1 NE,RING,COMPACT,None,YD,EGRET,FF00171,1KLR26018A,1-Light,33.0,NORMAL
67,2301170A,2023-05-02,MAU,100CO,20/1 NE,RING,COMPACT,None,YD,BRILLIANT WHITE S TWIST,FF00048,1KLR25996A,1-Light,130.0,NORMAL
68,2301170A,2023-05-02,MAU,100CO,20/1 NE,RING,COMPACT,None,YD,BRILLIANT WHITE,FF00171,1KLR25996A,1-Light,130.0,NORMAL
69,2301170A,2023-05-02,MAU,100CO,20/1 NE,RING,COMPACT,None,YD,NAVAL ACADEMY,FF00171,1BER07126B,4-Extra Dark,65.0,NORMAL
70,2301170A,2023-05-02,MAU,100CO,30/1 NE,RING,COMPACT,None,YD,NAVAL ACADEMY,FF00171,1BER07126B,4-Extra Dark,44.0,NORMAL
71,2301170A,2023-05-02,MAU,100CO,20/1 NE,RING,COMPACT,None,YD,BRILLIANT WHITE S TWIST,FF00048,1KLR25996A,1-Light,169.0,NORMAL
72,2301170A,2023-05-02,MAU,100CO,30/1 NE,RING,COMPACT,None,YD,BRILLIANT WHITE,FF00171,1KLR25996A,1-Light,44.0,NORMAL
73,2301170A,2023-05-02,MAU,100CO,20/1 NE,RING,COMPACT,None,YD,IRISH,FF00171,1KLR25954B,1-Light,121.0,NORMAL
74,2301170A,2023-05-02,MAU,100CO,30/1 NE,RING,COMPACT,None,YD, EGRET,FF00171,1KLR26018A,1-Light,33.0,NORMAL
75,2301141B,2023-05-10,MAU,100CO,40/1 NE,RING,COMPACT,None,YD,ECLIPSE,None,1BDR07794A,3-Dark,548.0,NORMAL
76,2301141B,2023-05-10,MAU,100CO,40/1 NE,RING,COMPACT,None,YD,ECLIPSE,None,1BDR07794A,3-Dark,1370.0,NORMAL
77,2301141B,2023-05-10,MAU,100CO,40/1 NE,RING,COMPACT,None,YD,BRANDIED APRICOT,None,1RLR10794A,1-Light,56.0,NORMAL
78,2301170A,2023-05-02,MAU,100CO,20/1 NE,RING,COMPACT,None,YD,EGRET S TWIST,FF00048,1KLR26018A,1-Light,105.0,NORMAL
79,DM2300139A,2023-03-29,MAU,100PET,200 DEN/F96,FIL,MELT,None,YD,X GREY,FF00099,1KLH03709B,1-Light,49.0,FIL
80,DM2300170A,2023-04-15,MAU,100CO,30/1 NE,RING,COMPACT,None,YD,CREAM,None,1KLR25890A,1-Light,72.0,NORMAL
81,DM2300170A,2023-04-15,MAU,100CO,30/1 NE,RING,COMPACT,None,YD,NAVY,None,1BDR07842A,3-Dark,28.0,NORMAL
82,DM2300170A,2023-04-15,MAU,100CO,30/1 NE,RING,COMPACT,None,YD,CREAM STWIST,FF00048,1KLR25890A,1-Light,68.0,NORMAL
83,DM2300170A,2023-04-15,MAU,100CO,30/1 NE,RING,COMPACT,None,YD,NAVY STWIST,FF00048,1BDR07842A,3-Dark,26.0,NORMAL
84,DM2300170A,2023-04-15,MAU,100CO,10/2 NE,RING,COMPACT,None,YD,CREAM,None,1KLR25890A,1-Light,222.0,NORMAL
85,DM2300170A,2023-04-15,MAU,100CO,20/1 NE,RING,COM,None,YD,CREAM,None,1KLR25890A,1-Light,97.0,NORMAL
86,DM2300170A,2023-04-15,MAU,100CO,30/1 NE,RING,COM,None,YD,CREAM,None,1KLR25890A,1-Light,25.0,NORMAL
87,DM2300188A,2023-05-04,MAU,100CO,30/1 NE,RING,CAR,None,YD,WHITE,None,EV 83,5-White,2509.0,NORMAL
88,DM2300188A,2023-05-04,MAU,100CO,30/1 NE,RING,CAR,None,YD,BLACK,None,1NER00003A,4-Extra Dark,2509.0,NORMAL
89,F2202208B,2023-05-04,BGD,100CO,20/2 NE,RING,COMPACT,None,YD,NAVY,None,3BER00070A,4-Extra Dark,3.0,NORMAL
90,F2202208B,2023-05-04,BGD,100CO,20/2 NE,RING,COMPACT,None,YD,WHITE O,None,2KLR04848H,1-Light,4.0,NORMAL
91,F2202208B,2023-05-04,BGD,100CO,20/2 NE,RING,COMPACT,None,YD,NAVY,None,3BER00070A,4-Extra Dark,6.0,NORMAL
92,F2300289B,2023-04-05,BGD,100PET,200 DEN/F96,FIL,MELT,None,YD,GREEN,FF00099,TBC-MED,2-Medium,264.0,FIL
93,F2300289C,2023-04-29,BGD,100PET,200 DEN/F96,FIL,MELT,None,YD,GREEN,FF00099,TBC-MED,2-Medium,111.0,FIL
94,F2300289C,2023-04-29,BGD,100PET,200 DEN/F96,FIL,MELT,None,YD,BROWN,FF00099,TBC-EXDARK,4-Extra Dark,105.0,FIL
95,F2300407A,2023-05-12,BGD,100CO,30/1 NE,RING,COMPACT,None,YD,BLANC ECRU,FF00001,2KLR04848H,1-Light,427.0,NORMAL
96,F2300407A,2023-05-12,BGD,100CO,16/1 NE,RING,COM,None,YD,BLANC ECRU,FF00001,2KLR04848H,1-Light,275.0,NORMAL
97,F2300407B,2023-07-07,BGD,100CO,30/1 NE,RING,COMPACT,None,YD,BLANC ECRU,FF00001,2KLR04848H,1-Light,427.0,NORMAL
98,F2300407B,2023-07-07,BGD,100CO,16/1 NE,RING,COM,None,YD,BLANC ECRU,FF00001,2KLR04848H,1-Light,275.0,NORMAL
99,F2300802A,2023-04-08,BGD,100PET,200 DEN/F96,FIL,MELT,None,YD,BLACK,FF00099,1NEH00001A,4-Extra Dark,174.0,FIL
100,F2300802A,2023-04-08,BGD,100PET,200 DEN/F96,FIL,MELT,None,YD,BLUE,FF00099,3BLH00037A,1-Light,42.0,FIL
101,F2300845A,2023-04-18,BGD,100PET,200 DEN/F96,FIL,MELT,None,YD,SNOW WHITE,FF00099,TBC-LIGHT,1-Light,127.0,FIL
102,F70972L,2023-03-10,BGD,100CO,30/1 NE,RING,COMPACT,None,YD,NAVY,None,4BDR00343A,3-Dark,78.0,NORMAL
103,F70972L,2023-03-10,BGD,100CO,30/1 NE,RING,COMPACT,None,YD,NAVY,None,4BDR00343A,3-Dark,14.0,NORMAL
104,F90908Q,2022-12-23,BGD,65PET35CO,20/1 NE,RING,COMPACT,None,YD,WHITE,None,4W0W00002C,5-White,37.0,NORMAL
105,F91050H,2023-04-05,BGD,65PET35CO,20/1 NE,RING,COMPACT,None,YD,WHITE,None,4W0W00002C,5-White,32.0,NORMAL
106,F91050H,2023-04-05,BGD,65PET35CO,20/1 NE,RING,COMPACT,None,YD,WHITE,None,4W0W00002C,5-White,2.0,NORMAL
107,H2300239C,2023-04-29,MAU,100CO,30/1 NE,RING,COMPACT,None,YD,WHITE STWIST,FF00048,EV 83,5-White,614.0,NORMAL
